terminal_id,merchant_id,terminal_type,serial_number,location
TERM000001,MERCH000001,POS_CHIP_PIN,SN2064746525,Riverside
TERM000002,MERCH000001,POS_CHIP_PIN,SN2452066459,Riverside
TERM000003,MERCH000001,POS_CONTACTLESS,SN3527331058,Riverside
TERM000004,MERCH000001,POS_CHIP_PIN,SN9894847574,Riverside
TERM000005,MERCH000002,POS_CONTACTLESS,SN2419179580,Springfield
TERM000006,MERCH000003,ECOM_GATEWAY,SN8168204967,Georgetown
TERM000007,MERCH000003,POS_CONTACTLESS,SN3315992115,Georgetown
TERM000008,MERCH000004,POS_CONTACTLESS,SN8664882079,Georgetown
TERM000009,MERCH000004,MOBILE_POS,SN1817804383,Georgetown
TERM000010,MERCH000004,POS_CHIP_PIN,SN8125276666,Georgetown
TERM000011,MERCH000004,ECOM_GATEWAY,SN7114223633,Georgetown
TERM000012,MERCH000005,POS_CHIP_PIN,SN1422701550,Springfield
TERM000013,MERCH000005,MOBILE_POS,SN8422620843,Springfield
TERM000014,MERCH000005,POS_CHIP_PIN,SN2067970820,Springfield
TERM000015,MERCH000005,POS_CONTACTLESS,SN7598297060,Springfield
TERM000016,MERCH000006,MOBILE_POS,SN6083042422,Georgetown
TERM000017,MERCH000006,MOBILE_POS,SN4965395580,Georgetown
TERM000018,MERCH000007,POS_CHIP_PIN,SN9807209816,Fairview
TERM000019,MERCH000007,POS_CHIP_PIN,SN5161807235,Fairview
TERM000020,MERCH000007,POS_CONTACTLESS,SN6009268066,Fairview
TERM000021,MERCH000007,MOBILE_POS,SN3067418686,Fairview
TERM000022,MERCH000008,POS_CHIP_PIN,SN6002078344,Springfield
TERM000023,MERCH000008,POS_CHIP_PIN,SN9526836552,Springfield
TERM000024,MERCH000008,ECOM_GATEWAY,SN8667072205,Springfield
TERM000025,MERCH000008,ECOM_GATEWAY,SN8380507338,Springfield
TERM000026,MERCH000009,POS_CONTACTLESS,SN2274350418,Fairview
TERM000027,MERCH000009,POS_CHIP_PIN,SN3328710672,Fairview
TERM000028,MERCH000010,POS_CHIP_PIN,SN9805294274,Riverside
TERM000029,MERCH000010,MOBILE_POS,SN1676168421,Riverside
TERM000030,MERCH000010,POS_CHIP_PIN,SN4656488400,Riverside
TERM000031,MERCH000011,POS_CHIP_PIN,SN6305160342,Riverside
TERM000032,MERCH000012,POS_CONTACTLESS,SN9760623742,Fairview
TERM000033,MERCH000013,MOBILE_POS,SN2119980130,Georgetown
TERM000034,MERCH000014,POS_CONTACTLESS,SN6435772945,Fairview
TERM000035,MERCH000014,POS_CONTACTLESS,SN6583444930,Fairview
TERM000036,MERCH000014,ECOM_GATEWAY,SN5018948187,Fairview
TERM000037,MERCH000015,MOBILE_POS,SN1429416213,Clinton
TERM000038,MERCH000016,ECOM_GATEWAY,SN6344160868,Riverside
TERM000039,MERCH000016,ECOM_GATEWAY,SN5972484792,Riverside
TERM000040,MERCH000017,POS_CHIP_PIN,SN7676965974,Clinton
TERM000041,MERCH000017,POS_CHIP_PIN,SN5871743247,Clinton
TERM000042,MERCH000017,POS_CHIP_PIN,SN4821286999,Clinton
TERM000043,MERCH000018,ECOM_GATEWAY,SN2472659626,Fairview
TERM000044,MERCH000018,ECOM_GATEWAY,SN7465682673,Fairview
TERM000045,MERCH000019,POS_CHIP_PIN,SN9986353481,Clinton
TERM000046,MERCH000019,MOBILE_POS,SN8856990236,Clinton
TERM000047,MERCH000019,POS_CHIP_PIN,SN5310195918,Clinton
TERM000048,MERCH000020,ECOM_GATEWAY,SN8325785916,Riverside
TERM000049,MERCH000020,POS_CHIP_PIN,SN1480494664,Riverside
TERM000050,MERCH000021,POS_CHIP_PIN,SN8879525611,Clinton
TERM000051,MERCH000021,POS_CONTACTLESS,SN2845919895,Clinton
TERM000052,MERCH000022,ECOM_GATEWAY,SN2536778950,Springfield
TERM000053,MERCH000023,POS_CHIP_PIN,SN9051829827,Clinton
TERM000054,MERCH000023,POS_CONTACTLESS,SN2770791023,Clinton
TERM000055,MERCH000024,ECOM_GATEWAY,SN6360837474,Clinton
TERM000056,MERCH000024,POS_CONTACTLESS,SN5759234471,Clinton
TERM000057,MERCH000025,MOBILE_POS,SN1955345537,Fairview
