mcc,description
5411,"Grocery Stores, Supermarkets"
5732,Electronics Stores
5812,"Eating Places, Restaurants"
5251,Hardware Stores
5651,Family Clothing Stores
5541,Service Stations (Fuel)
5942,Book Stores
5511,Car and Truck Dealers
5912,Drug Stores and Pharmacies
4111,Local/Suburban Commuter Transport
7832,Motion Picture Theaters
7011,"Hotels, Motels, Resorts"
5462,Bakeries
4814,Telecommunication Services
5813,"Bars, Cocktail Lounges"
5499,Convenience Stores
5712,"Furniture, Home Furnishings"
7230,Beauty and Barber Shops
5941,Sporting Goods Stores
5995,"Pet Shops, Pet Supplies"
5992,Florists
5422,Freezer/Meat/Fish Markets
5533,Auto Parts and Accessories
5945,"Hobby, Toy and Game Shops"
5431,Farm/Roadside Produce Stands
