code,description,status
00,Approved,APPROVED
01,Refer to card issuer,DECLINED
04,Pick up card,DECLINED
05,Do not honor,DECLINED
12,Invalid transaction,DECLINED
14,Invalid card number,DECLINED
30,Format error,DECLINED
41,Lost card,DECLINED
43,Stolen card,DECLINED
51,Insufficient funds,DECLINED
54,Expired card,DECLINED
57,Transaction not permitted to cardholder,DECLINED
58,Transaction not permitted to terminal,DECLINED
61,Exceeds withdrawal amount limit,DECLINED
62,Restricted card,DECLINED
65,Exceeds withdrawal frequency limit,DECLINED
75,PIN tries exceeded,DECLINED
91,Issuer or switch inoperative,DECLINED
96,System malfunction,DECLINED
